accession,message,sample_name,sample_title,bioproject_accession,organism,isolate,geographic_location,collection_date,depth,env_broad_scale,env_local_scale,env_medium,geo_loc_me,isolation_source,lat_lon,chlorophyll,collection_method,conduc,diss_oxygen,nitrate,nitrite,ph,samp_collect_device,samp_store_temp,silicate,size_frac,soluble_react_phosp,source_material_id,sulfate,sulfide,suspend_part_matter,temp,tidal_stage,tot_depth_water_col,tot_diss_nitro,tot_nitro,tot_phosp,turbidity,water_current,description,completeness(%),contamition_(%),strain_heterogeneity_(%),size_(mbp),no._of_contigs,gc_content_(%),n50,file,derived_from
SAMN41711892,Successfully loaded,Microcystis aeruginosa_D_LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,Microcystis aeruginosa,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,89.1,9.5,80.36,4.090998,2115,42.9,2021,samp_4436_concoct_82,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711893,Successfully loaded,Pirellula_B sp._LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,Pirellula,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,75.34,0.99,100,4.22016,1875,52.6,2512,samp_4436_concoct_92,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711894,Successfully loaded,Nanopelagicus sp016870455_LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,nopelagicus sp016870455,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,88.48,23.84,83.33,1.18439,247,42,5461,samp_4436_maxbin_65,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711895,Successfully loaded,CAIKZY01 sp._LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,CAIKZY01 sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,81.26,1.49,20,1.976218,234,64.9,9741,samp_4436_metadecoder_306,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711896,Successfully loaded,Pirellulaceae bacterium_LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,Pirellulaceae bacterium,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,96.62,1.71,25,5.163359,1278,58.1,6254,samp_4436_VAMB_227,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711897,Successfully loaded,Polynucleobacter victoriensis_LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,Polynucleobacter victoriensis,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,88.84,24.16,77.14,1.718374,1572,43.4,1439,samp_4436_VAMB_230,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711898,Successfully loaded,UBA10511 sp._LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,UBA10511 sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,80.45,8.09,33.33,6.293711,5627,66.5,1429,samp_4436_VAMB_247,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711899,Successfully loaded,Limnocylindrus sp._LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,Limnocylindrus sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,75.46,4.86,72.73,1.074172,673,62.8,2233,samp_4436_VAMB_263,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711900,Successfully loaded,Pirellula_B sp018969045_LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,Pirellula,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,97.58,0,0,4.909925,340,52.5,21238,samp_4436_VAMB_264,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711901,Successfully loaded,Fonsibacter sp._LV_27_18. Awach River Mouth_2023,LV_27_samp_4436_18. Awach River Mouth_2023,PRJNA1119566,Fonsibacter sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3471_34.64945,,Van dorn collection,142.5(uS/cm),4.38mg/L,27.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,22.05(ug/L),,,,,29.7degree C,,3.2m,745.5(ug/L),2765 (ug/L),296 (ug/L),31.9NTU,,Awach River mouth,73.81,22.7,17.02,8.589764,17923,46.7,485,samp_4436_VAMB_666,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659696  (SRA SUB14491329)
SAMN41711902,Successfully loaded,F1-60-MAGs027 sp016870295_LV_29_20. Ingra_2023,LV_29_samp_4438_20. Ingra_2023,PRJNA1119566,F1-60-MAGs027 sp016870295,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3505_34.45655,,Van dorn collection,138.5(uS/cm),5.99mg/L,ND,,8.7,Van dorn,-80 degree C,,0.22 micron,10.6(ug/L),,,,,28.4degree C,,10.3m,252.75(ug/L),463 (ug/L),90.5 (ug/L),27.7NTU,,Ingra,84.79,18.88,71.43,1.966295,877,61.7,2483,samp_4438_concoct_776,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659698  (SRA SUB14491329)
SAMN41711903,Successfully loaded,UBA954 sp._LV_29_20. Ingra_2023,LV_29_samp_4438_20. Ingra_2023,PRJNA1119566,UBA954 sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3505_34.45655,,Van dorn collection,138.5(uS/cm),5.99mg/L,ND,,8.7,Van dorn,-80 degree C,,0.22 micron,10.6(ug/L),,,,,28.4degree C,,10.3m,252.75(ug/L),463 (ug/L),90.5 (ug/L),27.7NTU,,Ingra,79.42,4.8,52.94,1.651109,673,57.2,3003,samp_4438_concoct_811,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659698  (SRA SUB14491329)
SAMN41711904,Successfully loaded,BACL27 sp._LV_29_20. Ingra_2023,LV_29_samp_4438_20. Ingra_2023,PRJNA1119566,BACL27 sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3505_34.45655,,Van dorn collection,138.5(uS/cm),5.99mg/L,ND,,8.7,Van dorn,-80 degree C,,0.22 micron,10.6(ug/L),,,,,28.4degree C,,10.3m,252.75(ug/L),463 (ug/L),90.5 (ug/L),27.7NTU,,Ingra,75.21,6.84,100,1.35212,341,50.2,4174,samp_4438_metabat2_50,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659698  (SRA SUB14491329)
SAMN41711905,Successfully loaded,MAG-120802 sp._LV_29_20. Ingra_2023,LV_29_samp_4438_20. Ingra_2023,PRJNA1119566,MAG-120802 sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3505_34.45655,,Van dorn collection,138.5(uS/cm),5.99mg/L,ND,,8.7,Van dorn,-80 degree C,,0.22 micron,10.6(ug/L),,,,,28.4degree C,,10.3m,252.75(ug/L),463 (ug/L),90.5 (ug/L),27.7NTU,,Ingra,76.08,2.41,100,1.0584,132,46.9,13707,samp_4438_metabat2_58,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659698  (SRA SUB14491329)
SAMN41711906,Successfully loaded,Fonsibacter sp016882185_LV_29_20. Ingra_2023,LV_29_samp_4438_20. Ingra_2023,PRJNA1119566,Fonsibacter sp016882185,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3505_34.45655,,Van dorn collection,138.5(uS/cm),5.99mg/L,ND,,8.7,Van dorn,-80 degree C,,0.22 micron,10.6(ug/L),,,,,28.4degree C,,10.3m,252.75(ug/L),463 (ug/L),90.5 (ug/L),27.7NTU,,Ingra,78.11,1.92,66.67,0.784843,135,30,6956,samp_4438_semibin_12,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659698  (SRA SUB14491329)
SAMN41711907,Successfully loaded,BACL27 sp016870935_LV_29_20. Ingra_2023,LV_29_samp_4438_20. Ingra_2023,PRJNA1119566,BACL27 sp016870935,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3505_34.45655,,Van dorn collection,138.5(uS/cm),5.99mg/L,ND,,8.7,Van dorn,-80 degree C,,0.22 micron,10.6(ug/L),,,,,28.4degree C,,10.3m,252.75(ug/L),463 (ug/L),90.5 (ug/L),27.7NTU,,Ingra,84.25,12.75,60.87,1.724326,1338,58.2,1742,samp_4438_VAMB_133,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659698  (SRA SUB14491329)
SAMN41711908,Successfully loaded,Dolichospermum sp._LV_29_20. Ingra_2023,LV_29_samp_4438_20. Ingra_2023,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3505_34.45655,,Van dorn collection,138.5(uS/cm),5.99mg/L,ND,,8.7,Van dorn,-80 degree C,,0.22 micron,10.6(ug/L),,,,,28.4degree C,,10.3m,252.75(ug/L),463 (ug/L),90.5 (ug/L),27.7NTU,,Ingra,75.51,6.38,10.53,3.581573,5121,37.3,795,samp_4438_VAMB_73,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659698  (SRA SUB14491329)
SAMN41711909,Successfully loaded,Pirellula_B sp._LV_29_20. Ingra_2023,LV_29_samp_4438_20. Ingra_2023,PRJNA1119566,Pirellula,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3505_34.45655,,Van dorn collection,138.5(uS/cm),5.99mg/L,ND,,8.7,Van dorn,-80 degree C,,0.22 micron,10.6(ug/L),,,,,28.4degree C,,10.3m,252.75(ug/L),463 (ug/L),90.5 (ug/L),27.7NTU,,Ingra,86.17,8.5,30.77,5.051798,4305,52.5,1535,samp_4438_VAMB_76,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659698  (SRA SUB14491329)
SAMN41711910,Successfully loaded,SXXK01 sp._LV_29_20. Ingra_2023,LV_29_samp_4438_20. Ingra_2023,PRJNA1119566,SXXK01 sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3505_34.45655,,Van dorn collection,138.5(uS/cm),5.99mg/L,ND,,8.7,Van dorn,-80 degree C,,0.22 micron,10.6(ug/L),,,,,28.4degree C,,10.3m,252.75(ug/L),463 (ug/L),90.5 (ug/L),27.7NTU,,Ingra,81.65,4.23,66.67,5.693506,5453,58.7,1344,samp_4438_VAMB_77,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659698  (SRA SUB14491329)
SAMN41711911,Successfully loaded,Pirellula_B sp._LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,Pirellula,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,78.52,5.05,50,4.196338,1841,52.5,2521,samp_4439_concoct_157,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711912,Successfully loaded,RFTU01 sp._LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,RFTU01 sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,84.33,7.5,69.44,2.260736,1119,65.7,2134,samp_4439_concoct_166,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711913,Successfully loaded,F1-60-MAGs027 sp016870295_LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,F1-60-MAGs027 sp016870295,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,87.88,18.09,65.62,2.134205,920,61.4,2646,samp_4439_concoct_169,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711914,Successfully loaded,BACL27 sp016870935_LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,BACL27 sp016870935,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,81.62,3.52,50,1.584907,597,58.3,3306,samp_4439_concoct_179,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711915,Successfully loaded,Microcystis sp._LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,Microcystis sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,94.92,17.83,86.67,5.994562,2544,42.2,2693,samp_4439_concoct_180,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711916,Successfully loaded,BACL27 sp._LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,BACL27 sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,78.58,9.21,93.33,1.431899,336,50.1,4654,samp_4439_metabat2_32,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711917,Successfully loaded,MAG-120802 sp016870855_LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,MAG-120802 sp016870855,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,84.17,2.98,89.47,1.097336,200,48.2,6417,samp_4439_metabat2_48,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711918,Successfully loaded,Fonsibacter sp016882185_LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,Fonsibacter sp016882185,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,86.75,0,0,0.845159,122,29.6,8243,samp_4439_metadecoder_860,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711919,Successfully loaded,SYHX01 sp009927485_LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,SYHX01 sp009927485,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,76.59,16.71,47.69,1.94506,2459,51.3,905,samp_4439_VAMB_305,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711920,Successfully loaded,MAG-120802 sp016870835_LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,MAG-120802 sp016870835,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,78.57,22.75,62.69,1.367904,889,46.9,1880,samp_4439_VAMB_313,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711921,Successfully loaded,VGXF01 sp016873435_LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,VGXF01 sp016873435,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,82.46,5.8,27.27,1.521246,1420,60.5,1327,samp_4439_VAMB_406,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711922,Successfully loaded,Casp-actino8 sp._LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,Casp-actino8 sp.,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,76.77,10.14,64.29,2.12324,1326,64.4,1981,samp_4439_VAMB_495,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711923,Successfully loaded,OLB10 bacterium_LV_30_21. Kowuor_2023,LV_30_samp_4439_21. Kowuor_2023,PRJNA1119566,OLB10 bacterium,not_applicable,Kenya:Lake Victoria,2023-05-30T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.44_34.4736,,Van dorn collection,138.7(uS/cm),6.31mg/L,3.635 (ug/L),,7.3,Van dorn,-80 degree C,,0.22 micron,17.25(ug/L),,,,,27.8degree C,,5.9m,386(ug/L),699 (ug/L),101 (ug/L),32.6NTU,,Kowuor,85.5,9.52,45.16,2.464739,1923,44.4,1509,samp_4439_VAMB_666,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659699  (SRA SUB14491329)
SAMN41711924,Successfully loaded,Microcystis panniformis_LV_31_22. Oluch_2023,LV_31_samp_4440_22. Oluch_2023,PRJNA1119566,Microcystis panniformis,not_applicable,Kenya:Lake Victoria,2023-05-31T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.4731_34.49207,,Van dorn collection,143.2(uS/cm),6.92mg/L,1.83 (ug/L),,8.7,Van dorn,-80 degree C,,0.22 micron,9.03(ug/L),,,,,26.32degree C,,6.8m,353(ug/L),496 (ug/L),65.9 (ug/L),34NTU,,Oluch,87.41,6.96,75,4.126967,2123,43,2036,samp_4440_concoct_565,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659700  (SRA SUB14491329)
